120	1.50000
9.87170e+00	1.86930e-14	5.60790e-15
8.62120e+00	3.13620e-14	9.40860e-15
7.52910e+00	4.24260e-14	1.27278e-14
6.57540e+00	5.20890e-14	1.56267e-14
5.74240e+00	6.05280e-14	1.81584e-14
5.01500e+00	6.78970e-14	2.03691e-14
4.37980e+00	7.43340e-14	2.23002e-14
3.82500e+00	8.50000e-14	2.55000e-14
3.34040e+00	1.18880e-13	3.56640e-14
2.91730e+00	2.66660e-13	7.99980e-14
2.54770e+00	4.70200e-13	1.41060e-13
2.22500e+00	1.15560e-12	3.46680e-13
1.94320e+00	2.15090e-12	6.45270e-13
1.69700e+00	4.76240e-12	1.42872e-12
1.48200e+00	9.68050e-12	2.90415e-12
1.29430e+00	1.73010e-11	5.19030e-12
1.13040e+00	3.40790e-11	1.02237e-11
9.87170e-01	5.35700e-11	1.60710e-11
8.62120e-01	1.09720e-10	3.29160e-11
7.52910e-01	1.85240e-10	5.55720e-11
6.57540e-01	3.00040e-10	9.00120e-11
5.74240e-01	4.67190e-10	1.40157e-10
5.01500e-01	6.48760e-10	1.94628e-10
4.37980e-01	9.43550e-10	2.83065e-10
3.82500e-01	1.24260e-09	3.72780e-10
3.34040e-01	1.60150e-09	4.80450e-10
2.91730e-01	1.91100e-09	5.73300e-10
2.54770e-01	2.17820e-09	6.53460e-10
2.22500e-01	2.34470e-09	7.03410e-10
1.94320e-01	2.48250e-09	7.44750e-10
1.69700e-01	2.63260e-09	7.89780e-10
1.48200e-01	2.78970e-09	8.36910e-10
1.29430e-01	2.95980e-09	8.87940e-10
1.13040e-01	3.17620e-09	9.52860e-10
9.87170e-02	3.39070e-09	1.01721e-09
8.62120e-02	3.66650e-09	1.09995e-09
7.52910e-02	3.94480e-09	1.18344e-09
6.57540e-02	4.25680e-09	1.27704e-09
5.74240e-02	4.60870e-09	1.38261e-09
5.01500e-02	4.95840e-09	1.48752e-09
4.37980e-02	5.37350e-09	1.61205e-09
3.82500e-02	5.77580e-09	1.73274e-09
3.34040e-02	6.22440e-09	1.86732e-09
2.91730e-02	6.69780e-09	2.00934e-09
2.54770e-02	7.17540e-09	2.15262e-09
2.22500e-02	7.79560e-09	2.33868e-09
1.94320e-02	8.41590e-09	2.52477e-09
1.69700e-02	9.19040e-09	2.75712e-09
1.48200e-02	1.00600e-08	3.01800e-09
1.29430e-02	1.10630e-08	3.31890e-09
1.13040e-02	1.23670e-08	3.71010e-09
9.87170e-03	1.36810e-08	4.10430e-09
8.62120e-03	1.57650e-08	4.72950e-09
7.52910e-03	1.79960e-08	5.39880e-09
6.57540e-03	2.07050e-08	6.21150e-09
5.74240e-03	2.42480e-08	7.27440e-09
5.01500e-03	2.79700e-08	8.39100e-09
4.37980e-03	3.39290e-08	1.01787e-08
3.82500e-03	4.02770e-08	1.20831e-08
3.34040e-03	4.87110e-08	1.46133e-08
2.91730e-03	5.96010e-08	1.78803e-08
2.54770e-03	7.18810e-08	2.15643e-08
2.22500e-03	9.00110e-08	2.70033e-08
1.94320e-03	1.09130e-07	3.27390e-08
1.69700e-03	1.36750e-07	4.10250e-08
1.48200e-03	1.69420e-07	5.08260e-08
1.29430e-03	2.08720e-07	6.26160e-08
1.13040e-03	2.63450e-07	7.90350e-08
9.87170e-04	3.19250e-07	9.57750e-08
8.62120e-04	4.03220e-07	1.20966e-07
7.52910e-04	4.94590e-07	1.48377e-07
6.57540e-04	6.07620e-07	1.82286e-07
5.74240e-04	7.50520e-07	2.25156e-07
5.01500e-04	8.98820e-07	2.69646e-07
4.37980e-04	1.10590e-06	3.31770e-07
3.82500e-04	1.31790e-06	3.95370e-07
3.34040e-04	1.58110e-06	4.74330e-07
2.91730e-04	1.87850e-06	5.63550e-07
2.54770e-04	2.19110e-06	6.57330e-07
2.22500e-04	2.57770e-06	7.73310e-07
1.94320e-04	2.95920e-06	8.87760e-07
1.69700e-04	3.42150e-06	1.02645e-06
1.48200e-04	3.89090e-06	1.16727e-06
1.29430e-04	4.38370e-06	1.31511e-06
1.13040e-04	4.91270e-06	1.47381e-06
9.87170e-05	5.41130e-06	1.62339e-06
8.62120e-05	5.96300e-06	1.78890e-06
7.52910e-05	6.47840e-06	1.94352e-06
6.57540e-05	6.99060e-06	2.09718e-06
5.74240e-05	7.47290e-06	2.24187e-06
5.01500e-05	7.91280e-06	2.37384e-06
4.37980e-05	8.33350e-06	2.50005e-06
3.82500e-05	8.70340e-06	2.61102e-06
3.34040e-05	9.02640e-06	2.70792e-06
2.91730e-05	9.31760e-06	2.79528e-06
2.54770e-05	9.57910e-06	2.87373e-06
2.22500e-05	9.80710e-06	2.94213e-06
1.94320e-05	9.99980e-06	2.99994e-06
1.69700e-05	1.01320e-05	3.03960e-06
1.48200e-05	1.02000e-05	3.06000e-06
1.29430e-05	1.02000e-05	3.06000e-06
1.13040e-05	9.92180e-06	2.97654e-06
9.87170e-06	9.57160e-06	2.87148e-06
8.62120e-06	8.83600e-06	2.65080e-06
7.52910e-06	8.04040e-06	2.41212e-06
6.57540e-06	7.06320e-06	2.11896e-06
5.74240e-06	6.02180e-06	1.80654e-06
5.01500e-06	5.01250e-06	1.50375e-06
4.37980e-06	4.02990e-06	1.20897e-06
3.82500e-06	3.16700e-06	9.50100e-07
3.34040e-06	2.41930e-06	7.25790e-07
2.91730e-06	1.81530e-06	5.44590e-07
2.54770e-06	1.32640e-06	3.97920e-07
2.22500e-06	9.60590e-07	2.88177e-07
1.94320e-06	6.63080e-07	1.98924e-07
1.69700e-06	4.63160e-07	1.38948e-07
1.48200e-06	3.08880e-07	9.26640e-08
1.29430e-06	1.99750e-07	5.99250e-08
1.13040e-06	1.31800e-07	3.95400e-08
9.87170e-07	8.19010e-08	2.45703e-08
