         120      1.50000
      9.87170      364.747      4.00000
      8.62120      341.899      4.00000
      7.52910      321.945      4.00000
      6.57540      304.519      4.00000
      5.74240      289.300      4.00000
      5.01500      276.009      4.00000
      4.37980      264.402      4.00000
      3.82500      253.765      4.00000
      3.34040      243.486      4.00000
      2.91730      233.469      4.00000
      2.54770      224.128      4.00000
      2.22500      214.609      4.00000
      1.94320      205.723      4.00000
      1.69700      197.303      4.00000
      1.48200      189.176      4.00000
      1.29430      181.509      4.00000
      1.13040      173.622      4.00000
     0.987170      166.132      4.00000
     0.862120      159.150      4.00000
     0.752910      152.923      4.00000
     0.657540      147.595      4.00000
     0.574240      142.694      4.00000
     0.501500      137.731      4.00000
     0.437980      132.701      4.00000
     0.382500      127.880      4.00000
     0.334040      123.773      4.00000
     0.291730      120.629      4.00000
     0.254770      118.444      4.00000
     0.222500      116.969      4.00000
     0.194320      115.949      4.00000
     0.169700      115.215      4.00000
     0.148200      114.626      4.00000
     0.129430      114.095      4.00000
     0.113040      113.552      4.00000
    0.0987170      113.340      4.00000
    0.0862120      113.743      4.00000
    0.0752910      114.841      4.00000
    0.0657540      116.308      4.00000
    0.0574240      117.884      4.00000
    0.0501500      119.577      4.00000
    0.0437980      121.452      4.00000
    0.0382500      123.549      4.00000
    0.0334040      125.738      4.00000
    0.0291730      128.081      4.00000
    0.0254770      130.712      4.00000
    0.0222500      133.739      4.00000
    0.0194320      136.934      4.00000
    0.0169700      139.877      4.00000
    0.0148200      142.917      4.00000
    0.0129430      146.177      4.00000
    0.0113040      149.333      4.00000
   0.00987170      152.441      4.00000
   0.00862120      155.397      4.00000
   0.00752910      158.122      4.00000
   0.00657540      160.565      4.00000
   0.00574240      162.519      4.00000
   0.00501500      164.009      4.00000
   0.00437980      165.099      4.00000
   0.00382500      165.889      4.00000
   0.00334040      166.478      4.00000
   0.00291730      166.859      4.00000
   0.00254770      167.074      4.00000
   0.00222500      167.166      4.00000
   0.00194320      167.174      4.00000
   0.00169700      167.152      4.00000
   0.00148200      167.099      4.00000
   0.00129430      167.063      4.00000
   0.00113040      167.037      4.00000
  0.000987170      167.038      4.00000
  0.000862120      167.065      4.00000
  0.000752910      167.117      4.00000
  0.000657540      167.241      4.00000
  0.000574240      167.397      4.00000
  0.000501500      167.596      4.00000
  0.000437980      167.840      4.00000
  0.000382500      168.091      4.00000
  0.000334040      168.397      4.00000
  0.000291730      168.708      4.00000
  0.000254770      169.042      4.00000
  0.000222500      169.406      4.00000
  0.000194320      169.755      4.00000
  0.000169700      170.130      4.00000
  0.000148200      170.495      4.00000
  0.000129430      170.895      4.00000
  0.000113040      171.385      4.00000
  9.87170e-05      171.992      4.00000
  8.62120e-05      172.522      4.00000
  7.52910e-05      172.984      4.00000
  6.57540e-05      173.389      4.00000
  5.74240e-05      173.741      4.00000
  5.01500e-05      174.049      4.00000
  4.37980e-05      174.319      4.00000
  3.82500e-05      174.554      4.00000
  3.34040e-05      174.759      4.00000
  2.91730e-05      174.938      4.00000
  2.54770e-05      175.095      4.00000
  2.22500e-05      175.232      4.00000
  1.94320e-05      175.351      4.00000
  1.69700e-05      175.455      4.00000
  1.48200e-05      175.546      4.00000
  1.29430e-05      175.626      4.00000
  1.13040e-05      175.695      4.00000
  9.87170e-06      175.756      4.00000
  8.62120e-06      175.809      4.00000
  7.52910e-06      175.855      4.00000
  6.57540e-06      175.896      4.00000
  5.74240e-06      176.424      4.00000
  5.01500e-06      177.174      4.00000
  4.37980e-06      178.024      4.00000
  3.82500e-06      178.828      4.00000
  3.34040e-06      179.671      4.00000
  2.91730e-06      180.510      4.00000
  2.54770e-06      181.323      4.00000
  2.22500e-06      182.183      4.00000
  1.94320e-06      182.984      4.00000
  1.69700e-06      183.812      4.00000
  1.48200e-06      184.606      4.00000
  1.29430e-06      185.386      4.00000
  1.13040e-06      186.191      4.00000
  9.87170e-07      186.944      4.00000
