nu,sw,nu-err,sw-err,nu-ref,sw-ref
2777.012782,5.446e-28,1,6,752,752
2777.013225,2.166e-24,3,4,744,744
2777.060628,1.909e-24,3,3,239,257
2777.07028,2.197e-28,3,3,744,744
2777.073572,7.019e-26,1,6,752,752
2777.084,1.136e-24,3,3,239,257
2777.097314,7.799e-26,1,6,752,752
2777.10725,1.902e-23,3,4,744,744
2777.111325,4.727e-24,4,4,744,744
2777.112837,5.255e-26,1,6,752,752
2777.119751,7.496e-28,1,5,752,752
2777.133858,4.225e-25,3,3,239,257
2777.135002,5.425e-27,1,6,752,752
2777.135274,1.391e-27,3,3,247,744
2777.145861,3.86e-27,3,3,744,744
2777.14661,5.226e-29,2,3,247,744
2777.153925,7.081e-25,3,3,744,744
2777.155575,2.999e-27,1,6,752,752
2777.165436,1.576e-27,3,3,245,242
2777.16954,8.128e-28,3,3,245,242
2777.17521,4.963e-27,3,3,245,242
2777.179966,3.861e-27,3,3,744,744
2777.185058,2.898e-29,1,4,752,752
2777.189116,3.553e-28,1,6,752,752
2777.195108,1.729e-22,3,5,744,744
2777.201879,1.984e-29,3,6,752,752
2777.212778,3.375e-28,1,6,752,752
2777.237668,7.2e-29,2,3,247,744
2777.254939,1.872e-27,3,3,245,254
2777.26195,6.496e-27,3,3,247,744
2777.266329,5.845e-28,1,6,752,752
2777.267464,7.341e-29,1,6,752,752
2777.268666,4.909e-23,3,4,744,744
2777.272177,1.282e-22,3,5,744,744
2777.273088,3.699e-29,2,3,247,744
2777.289094,2.419e-23,3,4,744,744
2777.290407,2.122e-28,2,3,247,744
2777.296774,3.334e-25,1,3,744,744
2777.299096,2e-25,1,3,744,744
2777.302731,4.345e-28,2,3,247,744
2777.31353,3.287e-23,3,4,1126,744
2777.323125,5.488e-23,3,5,744,1118
2777.324192,1.519e-26,3,3,247,744
2777.335283,8.436e-29,3,3,245,242
2777.34365,4.852e-24,3,4,744,744
2777.343813,1.626e-26,3,3,245,254
2777.355083,1.064e-24,3,3,239,257
2777.364068,2.121e-28,3,3,744,744
2777.366306,3.944e-29,2,3,247,744
2777.373465,4.265e-25,3,3,239,257
2777.376466,1.579e-23,3,4,744,744
2777.38467,1.334e-25,3,3,1126,744
2777.391512,2.728e-25,5,3,245,242
2777.394959,1.168e-24,3,3,239,257
2777.399603,1.059e-27,3,3,245,242
2777.40457,5.185e-24,3,4,744,744
2777.407649,3.786e-25,3,3,239,257
2777.410773,2.492e-23,4,4,744,744
2777.414187,6.465e-28,3,3,245,242
2777.414202,1.235e-27,3,3,744,744
2777.420611,3.103e-27,3,3,245,254
2777.425696,6.776e-25,3,3,239,257
2777.437253,1.159e-25,4,3,744,744
2777.438664,1.286e-26,3,3,247,744
2777.439074,1.057e-26,3,3,247,744
2777.464089,1.378e-28,1,5,752,752
2777.465811,4.736e-29,2,3,247,744
2777.46705,8.786e-26,4,6,752,752
2777.489728,3.824e-29,1,4,752,752
2777.492853,7.693e-26,4,3,744,744
2777.49707,1.668e-24,3,4,744,744
2777.50745,2.271e-24,4,6,752,752
2777.509694,2.696e-23,3,4,744,744
2777.517878,5.925e-28,1,6,752,752
2777.517972,3.567e-28,1,6,752,752
2777.518019,2.371e-28,1,6,752,752
2777.518066,2.828e-23,3,4,744,744
