120	1.50000
9.87170e+00	2.33390e-08	7.00170e-09
8.62120e+00	4.64970e-08	1.39491e-08
7.52910e+00	6.67200e-08	2.00160e-08
6.57540e+00	8.43820e-08	2.53146e-08
5.74240e+00	9.98070e-08	2.99421e-08
5.01500e+00	1.13280e-07	3.39840e-08
4.37980e+00	1.25040e-07	3.75120e-08
3.82500e+00	1.35320e-07	4.05960e-08
3.34040e+00	1.44290e-07	4.32870e-08
2.91730e+00	1.53140e-07	4.59420e-08
2.54770e+00	1.61670e-07	4.85010e-08
2.22500e+00	1.70270e-07	5.10810e-08
1.94320e+00	1.77990e-07	5.33970e-08
1.69700e+00	1.84590e-07	5.53770e-08
1.48200e+00	1.90470e-07	5.71410e-08
1.29430e+00	1.95750e-07	5.87250e-08
1.13040e+00	1.99320e-07	5.97960e-08
9.87170e-01	2.02050e-07	6.06150e-08
8.62120e-01	2.03270e-07	6.09810e-08
7.52910e-01	2.03570e-07	6.10710e-08
6.57540e-01	2.02390e-07	6.07170e-08
5.74240e-01	2.01600e-07	6.04800e-08
5.01500e-01	2.01030e-07	6.03090e-08
4.37980e-01	2.03890e-07	6.11670e-08
3.82500e-01	2.08010e-07	6.24030e-08
3.34040e-01	2.15780e-07	6.47340e-08
2.91730e-01	2.25510e-07	6.76530e-08
2.54770e-01	2.36310e-07	7.08930e-08
2.22500e-01	2.47350e-07	7.42050e-08
1.94320e-01	2.58340e-07	7.75020e-08
1.69700e-01	2.73950e-07	8.21850e-08
1.48200e-01	2.91350e-07	8.74050e-08
1.29430e-01	3.11290e-07	9.33870e-08
1.13040e-01	3.36400e-07	1.00920e-07
9.87170e-02	3.61280e-07	1.08384e-07
8.62120e-02	3.94380e-07	1.18314e-07
7.52910e-02	4.27860e-07	1.28358e-07
6.57540e-02	4.65540e-07	1.39662e-07
5.74240e-02	5.09290e-07	1.52787e-07
5.01500e-02	5.53280e-07	1.65984e-07
4.37980e-02	6.09820e-07	1.82946e-07
3.82500e-02	6.65520e-07	1.99656e-07
3.34040e-02	7.29520e-07	2.18856e-07
2.91730e-02	7.98830e-07	2.39649e-07
2.54770e-02	8.69900e-07	2.60970e-07
2.22500e-02	9.53220e-07	2.85966e-07
1.94320e-02	1.03620e-06	3.10860e-07
1.69700e-02	1.14420e-06	3.43260e-07
1.48200e-02	1.25500e-06	3.76500e-07
1.29430e-02	1.37230e-06	4.11690e-07
1.13040e-02	1.51130e-06	4.53390e-07
9.87170e-03	1.64660e-06	4.93980e-07
8.62120e-03	1.81830e-06	5.45490e-07
7.52910e-03	1.99360e-06	5.98080e-07
6.57540e-03	2.19380e-06	6.58140e-07
5.74240e-03	2.42050e-06	7.26150e-07
5.01500e-03	2.64600e-06	7.93800e-07
4.37980e-03	2.93780e-06	8.81340e-07
3.82500e-03	3.22490e-06	9.67470e-07
3.34040e-03	3.55390e-06	1.06617e-06
2.91730e-03	3.90590e-06	1.17177e-06
2.54770e-03	4.26400e-06	1.27920e-06
2.22500e-03	4.68370e-06	1.40511e-06
1.94320e-03	5.09010e-06	1.52703e-06
1.69700e-03	5.55840e-06	1.66752e-06
1.48200e-03	6.03090e-06	1.80927e-06
1.29430e-03	6.52370e-06	1.95711e-06
1.13040e-03	7.05270e-06	2.11581e-06
9.87170e-04	7.55200e-06	2.26560e-06
8.62120e-04	8.12210e-06	2.43663e-06
7.52910e-04	8.65490e-06	2.59647e-06
6.57540e-04	9.18480e-06	2.75544e-06
5.74240e-04	9.73710e-06	2.92113e-06
5.01500e-04	1.02670e-05	3.08010e-06
4.37980e-04	1.07630e-05	3.22890e-06
3.82500e-04	1.12240e-05	3.36720e-06
3.34040e-04	1.17020e-05	3.51060e-06
2.91730e-04	1.21740e-05	3.65220e-06
2.54770e-04	1.26290e-05	3.78870e-06
2.22500e-04	1.30120e-05	3.90360e-06
1.94320e-04	1.33450e-05	4.00350e-06
1.69700e-04	1.36450e-05	4.09350e-06
1.48200e-04	1.39370e-05	4.18110e-06
1.29430e-04	1.42310e-05	4.26930e-06
1.13040e-04	1.44850e-05	4.34550e-06
9.87170e-05	1.47070e-05	4.41210e-06
8.62120e-05	1.48910e-05	4.46730e-06
7.52910e-05	1.50650e-05	4.51950e-06
6.57540e-05	1.52420e-05	4.57260e-06
5.74240e-05	1.53800e-05	4.61400e-06
5.01500e-05	1.54930e-05	4.64790e-06
4.37980e-05	1.56740e-05	4.70220e-06
3.82500e-05	1.58150e-05	4.74450e-06
3.34040e-05	1.58750e-05	4.76250e-06
2.91730e-05	1.59690e-05	4.79070e-06
2.54770e-05	1.60820e-05	4.82460e-06
2.22500e-05	1.61520e-05	4.84560e-06
1.94320e-05	1.62000e-05	4.86000e-06
1.69700e-05	1.62000e-05	4.86000e-06
1.48200e-05	1.59800e-05	4.79400e-06
1.29430e-05	1.55110e-05	4.65330e-06
1.13040e-05	1.43800e-05	4.31400e-06
9.87170e-06	1.31270e-05	3.93810e-06
8.62120e-06	1.12260e-05	3.36780e-06
7.52910e-06	9.41550e-06	2.82465e-06
6.57540e-06	7.55520e-06	2.26656e-06
5.74240e-06	5.93700e-06	1.78110e-06
5.01500e-06	4.52730e-06	1.35819e-06
4.37980e-06	3.41000e-06	1.02300e-06
3.82500e-06	2.48090e-06	7.44270e-07
3.34040e-06	1.78700e-06	5.36100e-07
2.91730e-06	1.26260e-06	3.78780e-07
2.54770e-06	8.68560e-07	2.60568e-07
2.22500e-06	6.03840e-07	1.81152e-07
1.94320e-06	3.96590e-07	1.18977e-07
1.69700e-06	2.66910e-07	8.00730e-08
1.48200e-06	1.69600e-07	5.08800e-08
1.29430e-06	1.04710e-07	3.14130e-08
1.13040e-06	6.61660e-08	1.98498e-08
9.87170e-07	3.87430e-08	1.16229e-08
